音频文件名,角色,声线建议,章节,台词
vox_zhou.mp3,老周 · 放射科医师,男，60岁左右，豁达、玩世不恭的大叔,第一章,新来的？我老周。
vox2_zhou.mp3,老周 · 放射科医师,男，60岁左右，豁达、玩世不恭的大叔,第二章,新机器，新规矩，今晚你拍，我看着。
vox_tang.mp3,小唐 · 值班护士,女，年轻，活泼，有点咋咋呼呼,第一章,新同事，我小唐，今晚的值班护士。
vox2_tang.mp3,小唐 · 值班护士,女，年轻，活泼，有点咋咋呼呼,第二章,我可什么都没说啊！
vox_lei.mp3,小雷 · 信息科,男，年轻，技术宅,第一章,哎哎，搭把手，信息科小雷。
vox2_lei.mp3,小雷 · 信息科,男，年轻，技术宅,第二章,新机器进PACS了，嘿，鸟枪换炮喽！（PACS 读作 packs /pæks/）
vox_he.mp3,小何 · 急诊护士,女，年轻，干练急迫,第一章,不好意思，急诊小何，借过一下。
vox2_he.mp3,小何 · 急诊护士,女，年轻，干练急迫,第二章,老爷子夜里坠床，头颅CT，急！
vox_fan.mp3,老范 · 设备科,男，中年，厚道老师傅,第一章,设备科老范，送耗材来了。
vox2_fan_a.mp3,老范 · 设备科,男，中年，厚道老师傅,第二章,第三天中午，球管就烧了。
vox2_fan_b.mp3,老范 · 设备科,男，中年，厚道老师傅,第二章,原厂货，撑到了最后一天。
vox_kai.mp3,阿凯 · 厂家工程师,男，年轻，爽快利落,第一章,厂家阿凯，灯丝到寿了，换根新的。
vox2_kai.mp3,阿凯 · 厂家工程师,男，年轻，爽快利落,第二章,日检、预热，别偷懒。
vox_wen.mp3,雯雯 · 厂家销售,女，年轻，职业干练带笑意,第一章,技师老师，耽误您两分钟。
vox2_wen.mp3,雯雯 · 厂家销售,女，年轻，职业干练带笑意,第二章,加班加到十点的销售，您见过没？
vox_director.mp3,主任 · 影像科主任,男，中年，沉稳威严,第一章,你这周的夜班记录我都看了。（只说一次）
vox2_director.mp3,主任 · 影像科主任,男，中年，沉稳威严,第二章,年轻人，白班要快！
vox2_director_am.mp3,主任 · 影像科主任,男，中年，沉稳威严,第二章,年轻人不错啊，我出几道题考考你。
vox_mystery.mp3,神秘病人,男，苍老，低沉、欲言又止,第一章,医生……唉，我这阵子总是不得劲儿。
vox2_mystery.mp3,神秘病人,男，苍老，低沉、欲言又止,第二章,医生……嗯，又是我。
vox_luzhou_m.mp3,陆舟 · 研究生老同学,随玩家性别：男声/女声各一条，年轻,第二章,真的是你。
vox_luzhou_f.mp3,陆舟 · 研究生老同学,随玩家性别：男声/女声各一条，年轻,第二章,真的是你。
vox_jiang.mp3,老蒋 · 后勤处,男，中老年，大嗓门热心肠,第一章,影像科，影像科，后勤老蒋。
vox_qian.mp3,小钱 · 医保办,女，年轻，公事公办,第一章,影像科吗？医保办小钱。
vox_bai.mp3,老白 · 配件商,男，中年，油滑殷勤,第一章,小兄弟，配件生意了解一下。
vox_du.mp3,小杜 · 登记处,女，年轻，照章办事,DLC番外,没押金、没备案，系统开不出。
vox_liao.mp3,小廖 · 导管室巡回护士,女，年轻，麻利,DLC番外,我小廖。三件套，一件不能少。
vox_shao.mp3,邵云 · 白班技师长,女，中年，干练有气场,DLC番外,我邵云，白班技师长。
vox_qin.mp3,秦放 · 导管室技师,男，中年，沉稳，发口令的节奏感,DLC番外,我秦放。注意听我指挥。
vox_duty.mp3,总值班,男，中年，电话里严厉,第一章,家长要求不是指征，先走流程。
vox_aunt.mp3,大姨患者,女，中年，不好意思的语气,第一章,医生，我来的不是时候吧？
vox_enh.mp3,增强大姐,女，中年，夸张惊奇,DLC番外,热乎乎的，像喝了口白酒。
vox_grandpa.mp3,老爷子患者,男，老年，嘴硬心软,DLC番外,你们这医院，真较真。
vox_uncle.mp3,大爷患者,男，老年，恍然大悟,DLC番外,去年说看不见了，敢情是没看着。
vox_guy.mp3,青年男患者,男，青年，腹痛难忍,DLC番外,哎呦，疼死我了。
vox_thin.mp3,消瘦男患者,男，青年，气促痛苦,第一章,医生，胸口像针扎，喘不上气。
vox_worker.mp3,工人患者,男，中年，忍痛,第一章,哎呦医生，轻点，胳膊不敢动了。
vox_dad.mp3,患儿父亲,男，年轻父亲，焦急,第一章,孩子吞了个东西，没看清是啥！
vox_mom.mp3,患儿母亲,女，年轻母亲，带哭腔,第一章,医生！我儿子好像吞了东西！
vox_kid.mp3,小男孩,男童，五六岁，天真,DLC番外,叔叔，有棒棒糖吗？
vox_kiddad.mp3,孩子父亲（DLC）,男，中年，强硬质疑,DLC番外,再扫一次，出了事谁负责？
vox_kidmom.mp3,孩子母亲（DLC）,女，中年，护崽、不耐烦,DLC番外,三天前刚照过，还照。
